folder_name,site,image_name,species,year,fish_area,ac_area,ac_ratio,fl,weight,sex,ac_ratio_old,,,
IK,IK,P8230611.jpg,WSC,1+,509193,148762,0.292152484,93,8.8,2,0.247843156,,,
IK,IK,P8230613.jpg,WSC,0+,365427,54080,0.147991254,81,5.6,3,0.155363452,,,
IK,IK,P8230615.jpg,WSC,0+,333013,61790,0.185548312,78,4.6,2,0.131313192,,,
IK,IK,P8230617.jpg,WSC,0+,564926,61613,0.109063842,89,7.2,2,0.175635393,,,
IK,IK,P8230619.jpg,DV,2+,656990,18792,0.028603175,146,30.9,2,0.034580435,,,
IK,IK,P8230621.jpg,WSC,0+,420214,63224,0.150456672,78,4.9,2,0.167957279,,,
IK,IK,P8230623.jpg,WSC,0+,592650,184938,0.312052645,95,8.9,2,0.26492871,,,
IK,IK,P8230625.jpg,WSC,0+,404393,28138,0.069580829,72,3.9,,0.026293729,,,
IK,IK,P8230627.jpg,DV,2+,576541,19769,0.034288975,135,22.6,2,0.051297306,,,
IK,IK,P8230629.jpg,DV,2+,659699,5160,0.007821749,144,28.5,2,0.012531473,,,
IK,IK,P8230631.jpg,WSC,0+,408411,73493,0.17994863,92,8.6,2,0.199850151,,,
IK,IK,P8230633.jpg,WSC,0+,440759,90621,0.205602154,77,4.5,2,0.173934055,,,
IK,IK,P8230635.jpg,WSC,0+,519998,92721,0.178310301,91,7.7,2,0.196723834,,,
IK,IK,P8230637.jpg,WSC,0+,514319,104147,0.20249495,75,4.2,3,0.197449443,,,
IK,IK,P8230639.jpg,WSC,1+,708604,156146,0.220357209,155,43.7,2,0.234153349,,,
IK,IK,P8230641.jpg,WSC,1+,428262,94138,0.219816374,102,11.1,3,0.219816374,,,
IK,IK,P8230643.jpg,WSC,0+,499798,68220,0.136495144,86,5.9,2,0.136092982,,,
IK,IK,P8230645.jpg,WSC,0+,638622,168460,0.263786716,89,7.4,2,0.205562915,,,
IK,IK,P8230647.jpg,WSC,0+,573940,70803,0.123363069,81,5.4,2,0.155157334,,,
IK,IK,P8230649.jpg,WSC,0+,653280,199244,0.304990203,88,8,2,0.245669544,,,
IK,IK,P8230651.jpg,DV,2+,793675,58211,0.073343623,138,28.9,2,0.055561785,,,
IK,IK,P8230653.jpg,WSC,1+,499602,171103,0.342478613,108,13.3,3,0.368028951,,,
IK,IK,P8230655.jpg,WSC,0+,550592,109314,0.198539027,82,5.6,3,0.17921074,,,
IK,IK,P8230657.jpg,WSC,0+,633091,166217,0.262548354,94,8.2,3,0.288694674,,,
IK,IK,P8230659.jpg,WSC,1+,527233,153675,0.291474547,105,12.8,3,0.330629911,,,
IK,IK,P8230661.jpg,WSC,1+,589268,203972,0.346144708,106,12.7,2,0.329293293,,,
IK,IK,P8230663.jpg,WSC,0+,512453,72241,0.140970977,63,2.5,2,0.132318476,,,
IK,IK,P8230665.jpg,WSC,0+,569646,74132,0.130136962,74,4,2,0.169875677,,,
IK,IK,P8230667.jpg,WSC,0+,510764,80893,0.158376471,71,4.2,2,0.13744704,,,
